,datetime,open,high,low,close,volume
2020-03-01 00:00:00,1583017200000,7827.25,7830.68,7760.0,7760.0,0.256756
2020-03-01 01:00:00,1583020800000,7748.25,7819.09,7731.12,7731.12,0.138845
2020-03-01 02:00:00,1583024400000,7777.24,7833.57,7777.24,7833.57,0.0114
2020-03-01 03:00:00,1583028000000,7845.2,7898.96,7817.58,7855.15,0.357178
2020-03-01 04:00:00,1583031600000,7855.15,7855.15,7855.15,7855.15,0.0
2020-03-01 05:00:00,1583035200000,7784.09,7868.99,7781.43,7800.02,0.663131
2020-03-01 06:00:00,1583038800000,7786.83,7791.45,7761.58,7785.66,0.190666
2020-03-01 07:00:00,1583042400000,7779.5,7779.5,7750.0,7750.0,0.712075
2020-03-01 08:00:00,1583046000000,7767.18,7771.22,7724.05,7763.39,2.744272
2020-03-01 09:00:00,1583049600000,7761.47,7773.41,7749.66,7749.66,0.445488
2020-03-01 10:00:00,1583053200000,7773.06,7811.99,7730.56,7778.71,0.917848
2020-03-01 11:00:00,1583056800000,7760.0,7792.0,7760.0,7792.0,1.123308
2020-03-01 12:00:00,1583060400000,7792.0,7860.15,7781.44,7828.3,0.624573
2020-03-01 13:00:00,1583064000000,7849.22,7929.95,7789.31,7798.43,0.270512
2020-03-01 14:00:00,1583067600000,7783.1,7825.5,7734.82,7825.5,3.095894
2020-03-01 15:00:00,1583071200000,7831.74,7844.53,7754.46,7754.46,1.420892
2020-03-01 16:00:00,1583074800000,7755.12,7816.09,7742.32,7785.89,1.001469
2020-03-01 17:00:00,1583078400000,7823.15,7823.15,7670.0,7724.33,4.051716
2020-03-01 18:00:00,1583082000000,7704.5,7715.13,7684.1,7715.13,0.279136
2020-03-01 19:00:00,1583085600000,7718.29,7724.33,7650.75,7650.75,0.663618
2020-03-01 20:00:00,1583089200000,7650.75,7740.12,7630.0,7740.12,0.690175
2020-03-01 21:00:00,1583092800000,7733.32,7734.11,7691.0,7695.18,0.578044
2020-03-01 22:00:00,1583096400000,7691.0,7711.0,7650.16,7691.69,2.218194
2020-03-01 23:00:00,1583100000000,7722.22,7821.96,7692.29,7821.96,2.000427
2020-03-02 00:00:00,1583103600000,7722.18,7751.27,7700.0,7707.54,3.29036
2020-03-02 01:00:00,1583107200000,7707.54,7741.32,7694.79,7741.32,6.107443
2020-03-02 02:00:00,1583110800000,7719.11,7735.94,7693.25,7735.94,0.025745
2020-03-02 03:00:00,1583114400000,7740.39,7814.49,7740.39,7814.49,1.981726
2020-03-02 04:00:00,1583118000000,7814.49,7814.49,7814.49,7814.49,0.0
2020-03-02 05:00:00,1583121600000,7814.49,7814.49,7814.49,7814.49,0.011171
2020-03-02 06:00:00,1583125200000,7820.88,7855.99,7802.35,7853.13,0.937623
2020-03-02 07:00:00,1583128800000,7840.65,7884.83,7824.48,7853.48,0.140789
2020-03-02 08:00:00,1583132400000,7827.6,7837.26,7792.27,7797.3,0.810586
2020-03-02 09:00:00,1583136000000,7802.32,7832.88,7787.04,7827.46,0.414419
2020-03-02 10:00:00,1583139600000,7831.56,7864.31,7800.36,7856.48,2.195841
2020-03-02 11:00:00,1583143200000,7859.55,7906.86,7859.55,7880.7,0.720032
2020-03-02 12:00:00,1583146800000,7906.86,7908.16,7844.2,7889.98,1.071108
2020-03-02 13:00:00,1583150400000,7908.63,7950.0,7860.83,7887.4,0.550169
2020-03-02 14:00:00,1583154000000,7891.35,7950.0,7891.35,7939.25,0.851118
2020-03-02 15:00:00,1583157600000,7915.22,7999.83,7895.24,7936.74,2.128106
2020-03-02 16:00:00,1583161200000,7950.12,7982.81,7917.69,7917.69,0.306558
2020-03-02 17:00:00,1583164800000,7950.0,8000.0,7950.0,7967.14,11.4345
2020-03-02 18:00:00,1583168400000,7964.14,8000.0,7950.0,7950.01,1.200063
2020-03-02 19:00:00,1583172000000,7950.0,8000.0,7950.0,7950.0,1.318485
2020-03-02 20:00:00,1583175600000,7919.05,7982.59,7919.05,7963.0,0.902971
2020-03-02 21:00:00,1583179200000,7970.0,8000.0,7905.5,7945.06,1.458304
2020-03-02 22:00:00,1583182800000,8009.31,8050.58,8004.52,8035.0,12.296276
2020-03-02 23:00:00,1583186400000,8035.0,8073.76,8035.0,8035.0,1.705898
2020-03-03 00:00:00,1583190000000,8019.67,8043.62,7966.68,7966.68,1.018334
2020-03-03 01:00:00,1583193600000,7966.68,7966.68,7950.0,7950.0,0.063072
2020-03-03 02:00:00,1583197200000,7958.52,7958.52,7954.44,7954.44,0.018867
2020-03-03 03:00:00,1583200800000,7975.44,7984.1,7975.44,7984.1,0.04
2020-03-03 04:00:00,1583204400000,7981.88,7981.88,7981.88,7981.88,0.008624
2020-03-03 05:00:00,1583208000000,7947.2,7947.2,7947.2,7947.2,0.01795
2020-03-03 06:00:00,1583211600000,7947.2,7971.71,7947.2,7957.5,0.165299
2020-03-03 07:00:00,1583215200000,7958.0,7958.0,7894.55,7894.55,0.217229
2020-03-03 08:00:00,1583218800000,7894.55,7894.55,7857.07,7867.48,0.572908
2020-03-03 09:00:00,1583222400000,7885.96,7906.28,7885.96,7902.27,0.040165
2020-03-03 10:00:00,1583226000000,7902.27,7932.32,7902.27,7932.32,0.018693
2020-03-03 11:00:00,1583229600000,7937.51,8009.21,7933.0,7958.06,0.738644
2020-03-03 12:00:00,1583233200000,7993.98,8045.09,7942.81,7981.42,2.717458
2020-03-03 13:00:00,1583236800000,8006.19,8055.0,7911.24,7911.24,1.760034
2020-03-03 14:00:00,1583240400000,7911.24,7965.13,7850.0,7850.0,0.801409
2020-03-03 15:00:00,1583244000000,7911.24,7911.24,7850.0,7862.96,0.606322
2020-03-03 16:00:00,1583247600000,7895.35,8014.77,7777.37,7839.0,1.191122
2020-03-03 17:00:00,1583251200000,7839.0,7887.23,7775.32,7775.32,0.185486
2020-03-03 18:00:00,1583254800000,7782.97,7838.99,7763.02,7838.99,0.934687
2020-03-03 19:00:00,1583258400000,7801.76,7858.32,7801.76,7805.35,0.224334
2020-03-03 20:00:00,1583262000000,7779.83,7808.52,7750.0,7808.52,1.501982
2020-03-03 21:00:00,1583265600000,7808.52,7832.06,7771.22,7832.06,0.568757
2020-03-03 22:00:00,1583269200000,7832.06,7832.06,7832.06,7832.06,0.0
2020-03-03 23:00:00,1583272800000,7834.62,7865.72,7757.35,7865.72,0.962257
2020-03-04 00:00:00,1583276400000,7873.81,7894.32,7854.32,7854.32,0.391866
2020-03-04 01:00:00,1583280000000,7875.19,7879.39,7875.19,7879.39,0.009548
2020-03-04 02:00:00,1583283600000,7880.57,7890.0,7861.84,7865.0,2.803966
2020-03-04 03:00:00,1583287200000,7897.11,7917.87,7880.38,7880.38,0.416693
2020-03-04 04:00:00,1583290800000,7917.87,7980.49,7917.78,7932.6,1.850434
2020-03-04 05:00:00,1583294400000,7932.6,7984.61,7926.07,7970.16,1.277704
2020-03-04 06:00:00,1583298000000,7965.82,7984.77,7931.23,7984.77,1.043312
2020-03-04 07:00:00,1583301600000,7984.61,7997.05,7931.76,7931.76,0.365174
2020-03-04 08:00:00,1583305200000,7935.94,7985.37,7931.76,7961.2,0.954976
2020-03-04 09:00:00,1583308800000,7961.2,7980.0,7918.8,7956.58,1.7798
2020-03-04 10:00:00,1583312400000,7947.01,7947.01,7947.01,7947.01,0.006583
2020-03-04 12:00:00,1583319600000,7918.62,7918.62,7794.15,7904.88,0.63752
2020-03-04 13:00:00,1583323200000,7879.74,7941.37,7864.88,7925.79,0.664665
2020-03-04 14:00:00,1583326800000,7901.38,7943.06,7881.86,7916.3,0.507414
2020-03-04 15:00:00,1583330400000,7928.98,7979.43,7901.52,7926.57,0.355979
2020-03-04 16:00:00,1583334000000,7890.0,7910.01,7876.15,7910.01,0.277906
2020-03-04 17:00:00,1583337600000,7879.98,7940.13,7825.88,7912.2,2.792309
2020-03-04 18:00:00,1583341200000,7912.2,7930.0,7886.36,7905.04,1.168114
2020-03-04 19:00:00,1583344800000,7930.0,7930.0,7819.33,7897.49,0.84841
2020-03-04 20:00:00,1583348400000,7897.49,7930.0,7876.18,7912.18,1.556058
2020-03-04 21:00:00,1583352000000,7912.18,7919.0,7824.03,7878.52,1.303421
2020-03-04 22:00:00,1583355600000,7878.52,7931.89,7875.16,7894.68,4.06
2020-03-04 23:00:00,1583359200000,7913.33,7943.43,7891.26,7934.79,0.523042
2020-03-05 00:00:00,1583362800000,7923.75,7961.4,7911.63,7918.26,1.671231
2020-03-05 01:00:00,1583366400000,7926.22,8067.73,7908.76,8023.18,1.282449
2020-03-05 02:00:00,1583370000000,8028.6,8041.36,8008.05,8022.99,0.632391
2020-03-05 03:00:00,1583373600000,8041.96,8124.23,8026.68,8089.52,0.449666
2020-03-05 04:00:00,1583377200000,8093.9,8103.16,8035.59,8035.59,0.404403
2020-03-05 05:00:00,1583380800000,8044.36,8070.15,8040.31,8070.15,0.113868
2020-03-05 06:00:00,1583384400000,8070.15,8106.62,8035.59,8106.62,0.583169
2020-03-05 07:00:00,1583388000000,8091.99,8103.85,8070.1,8087.76,0.574466
2020-03-05 08:00:00,1583391600000,8091.94,8099.97,8050.0,8068.34,2.332684
2020-03-05 09:00:00,1583395200000,8068.34,8096.0,8064.07,8080.0,6.642296
2020-03-05 10:00:00,1583398800000,8090.0,8216.78,8090.0,8187.86,3.426125
2020-03-05 11:00:00,1583402400000,8202.8,8230.28,8178.86,8230.28,0.386354
2020-03-05 12:00:00,1583406000000,8200.26,8236.75,8140.55,8192.23,1.096991
2020-03-05 13:00:00,1583409600000,8234.97,8236.0,8202.43,8229.93,5.492084
2020-03-05 14:00:00,1583413200000,8186.38,8219.19,8180.0,8195.0,0.581708
2020-03-05 15:00:00,1583416800000,8189.65,8223.84,8143.4,8143.4,0.596238
2020-03-05 16:00:00,1583420400000,8143.4,8198.72,8143.4,8190.0,2.207033
2020-03-05 17:00:00,1583424000000,8190.0,8226.47,8173.62,8176.9,1.458768
2020-03-05 18:00:00,1583427600000,8176.9,8220.0,8136.0,8219.97,1.62041
2020-03-05 19:00:00,1583431200000,8206.23,8206.23,8178.96,8206.23,0.449687
2020-03-05 20:00:00,1583434800000,8208.3,8250.0,8192.52,8250.0,0.61453
2020-03-05 21:00:00,1583438400000,8241.75,8241.75,8170.64,8185.74,1.3143
2020-03-05 22:00:00,1583442000000,8197.4,8200.03,8179.11,8190.35,2.079319
2020-03-05 23:00:00,1583445600000,8190.38,8190.41,8149.47,8149.47,1.813979
2020-03-06 00:00:00,1583449200000,8146.13,8173.26,8090.0,8135.18,3.770162
2020-03-06 01:00:00,1583452800000,8152.51,8180.02,8050.0,8050.0,1.532797
2020-03-06 02:00:00,1583456400000,8097.32,8097.32,8097.32,8097.32,0.002592
2020-03-06 03:00:00,1583460000000,8094.93,8135.89,8091.75,8135.89,0.145014
2020-03-06 04:00:00,1583463600000,8130.16,8155.81,8130.16,8151.95,0.429685
2020-03-06 05:00:00,1583467200000,8109.13,8121.9,8050.0,8116.46,3.694901
2020-03-06 06:00:00,1583470800000,8125.72,8170.63,8125.72,8170.63,0.17311
2020-03-06 07:00:00,1583474400000,8178.12,8178.12,8176.0,8176.0,0.049473
2020-03-06 08:00:00,1583478000000,8189.65,8190.41,8164.19,8164.19,0.567633
2020-03-06 09:00:00,1583481600000,8158.23,8187.77,8133.89,8140.4,1.122097
2020-03-06 10:00:00,1583485200000,8194.04,8194.04,8135.94,8140.0,1.020614
