,datetime,open,high,low,close,volume
2020-11-06 11:00:00,1604656800000,51.6,53.129,11.2,52.773,71.69
2020-11-06 12:00:00,1604660400000,52.855,52.855,52.117,52.509,57.65
2020-11-06 13:00:00,1604664000000,52.458,52.479,51.798,51.929,72.906
2020-11-06 14:00:00,1604667600000,52.047,53.0,52.047,52.972,78.508
2020-11-06 15:00:00,1604671200000,52.579,52.677,51.371,51.486,136.234
2020-11-06 16:00:00,1604674800000,51.51,51.71,51.064,51.064,88.138
2020-11-06 17:00:00,1604678400000,51.338,51.836,51.338,51.836,26.567
2020-11-06 18:00:00,1604682000000,51.806,51.806,51.6,51.6,16.67
2020-11-06 19:00:00,1604685600000,51.893,51.893,51.445,51.512,24.196
2020-11-06 20:00:00,1604689200000,51.817,51.874,51.185,51.185,16.755
2020-11-06 21:00:00,1604692800000,51.072,51.126,50.668,51.126,47.945
2020-11-06 22:00:00,1604696400000,51.358,51.689,51.344,51.616,48.986
2020-11-06 23:00:00,1604700000000,51.6,52.201,51.509,52.201,61.488
2020-11-07 00:00:00,1604703600000,52.291,53.5,52.191,53.258,218.084
2020-11-07 01:00:00,1604707200000,53.291,54.188,53.291,53.767,130.34
2020-11-07 02:00:00,1604710800000,53.422,54.24,53.302,54.015,50.265
2020-11-07 03:00:00,1604714400000,53.737,53.737,53.348,53.348,81.159
2020-11-07 04:00:00,1604718000000,53.332,53.671,53.045,53.123,67.927
2020-11-07 05:00:00,1604721600000,53.332,53.409,52.906,53.068,11.69
2020-11-07 06:00:00,1604725200000,53.027,53.721,53.027,53.588,47.517
2020-11-07 07:00:00,1604728800000,53.284,53.43,53.097,53.379,34.218
2020-11-07 08:00:00,1604732400000,53.189,53.624,53.126,53.126,61.275
2020-11-07 09:00:00,1604736000000,53.267,53.74,52.832,53.74,110.817
2020-11-07 10:00:00,1604739600000,53.736,53.737,53.521,53.608,25.857
2020-11-07 11:00:00,1604743200000,53.147,53.489,53.143,53.489,10.982
2020-11-07 12:00:00,1604746800000,53.668,53.997,53.583,53.667,6.898
2020-11-07 13:00:00,1604750400000,53.812,53.812,53.522,53.522,34.241
2020-11-07 14:00:00,1604754000000,53.411,53.431,51.908,53.1,151.312
2020-11-07 15:00:00,1604757600000,53.048,53.048,50.71,50.752,175.955
2020-11-07 16:00:00,1604761200000,50.817,51.343,49.796,51.005,202.787
2020-11-07 17:00:00,1604764800000,51.051,51.679,50.18,51.462,227.962
2020-11-07 18:00:00,1604768400000,51.67,51.79,50.967,50.992,98.888
2020-11-07 19:00:00,1604772000000,50.886,51.166,48.84,49.329,109.408
2020-11-07 20:00:00,1604775600000,49.478,49.911,48.051,48.74,379.854
2020-11-07 21:00:00,1604779200000,48.446,49.925,47.922,49.821,209.852
2020-11-07 22:00:00,1604782800000,49.866,49.866,49.342,49.406,51.636
2020-11-07 23:00:00,1604786400000,49.494,49.768,48.986,49.768,293.216
2020-11-08 00:00:00,1604790000000,49.86,49.941,49.378,49.378,131.213
2020-11-08 01:00:00,1604793600000,49.301,50.171,49.275,50.098,79.783
2020-11-08 02:00:00,1604797200000,49.72,50.575,49.72,50.575,34.142
2020-11-08 03:00:00,1604800800000,50.422,50.442,50.384,50.442,16.747
2020-11-08 04:00:00,1604804400000,50.442,50.442,50.442,50.442,0.0
2020-11-08 05:00:00,1604808000000,50.119,50.145,49.801,49.827,18.335
2020-11-08 06:00:00,1604811600000,49.928,50.024,49.926,49.926,14.855
2020-11-08 07:00:00,1604815200000,49.968,49.968,49.464,49.741,27.857
